Дата эксперимента: 29.10.2023 19:00:49
time;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Temperature
1.511;1.0171;-0.0203;0.2003;-4.1298;1.0916;-0.9466;30.7888;
1.533;1.0183;-0.0173;0.2036;-4.1679;0.9160;-0.7481;30.6947;
2.023;1.0142;-0.0232;0.1931;-4.2366;1.0076;-0.9389;30.6947;
2.036;1.0168;-0.0247;0.1978;-4.1221;1.0763;-0.7710;30.6947;
2.058;1.0190;-0.0166;0.1964;-4.0763;1.0611;-0.7557;30.7888;
2.079;1.0176;-0.0254;0.2072;-4.0534;0.9389;-0.6870;30.6947;
2.100;1.0198;-0.0247;0.2009;-4.2137;0.9618;-0.6412;30.6947;
2.121;1.0251;-0.0173;0.1992;-4.3435;0.9771;-0.9160;30.7888;
2.141;1.0125;-0.0166;0.1900;-4.1527;0.9160;-0.9160;30.6947;
2.163;1.0178;-0.0259;0.1923;-4.2137;1.1450;-0.8473;30.7888;
2.183;1.0239;-0.0186;0.1978;-4.1221;0.9771;-0.8092;30.6947;
2.204;1.0181;-0.0249;0.2022;-4.1450;0.9618;-0.9160;30.6947;
2.225;1.0186;-0.0215;0.1948;-4.1908;0.9008;-0.6107;30.7888;
2.246;1.0149;-0.0217;0.2022;-3.9237;1.0840;-1.0534;30.7888;
2.268;1.0183;-0.0281;0.2003;-4.1908;1.0992;-0.7023;30.6947;
2.289;1.0159;-0.0183;0.1911;-4.1985;0.9847;-0.8550;30.6947;
2.309;1.0203;-0.0198;0.2006;-4.0763;1.0611;-0.9466;30.6947;
2.331;1.0176;-0.0171;0.2039;-4.0992;1.0916;-0.9389;30.7888;
2.352;1.0173;-0.0212;0.2084;-4.2137;1.0992;-0.7557;30.6947;
2.372;1.0225;-0.0237;0.2025;-4.1374;0.9847;-0.7939;30.6947;
2.394;1.0190;-0.0220;0.1914;-4.2824;1.0534;-0.8321;30.7888;
2.415;1.0195;-0.0212;0.2014;-4.3664;0.9695;-0.8931;30.6947;
2.435;1.0222;-0.0132;0.1945;-4.1069;0.9847;-0.7634;30.6947;
2.457;1.0149;-0.0254;0.1873;-4.0916;0.9084;-0.7023;30.6947;
2.478;1.0200;-0.0195;0.1906;-4.1603;0.8321;-0.8168;30.7888;
2.499;1.0195;-0.0234;0.2020;-4.4275;0.9313;-0.9084;30.6947;
2.520;1.0215;-0.0261;0.2003;-4.1221;0.8550;-0.8550;30.6947;
2.540;1.0171;-0.0239;0.1948;-4.1603;0.9160;-1.0305;30.7888;
2.561;1.0137;-0.0190;0.2006;-4.2214;1.1908;-0.8244;30.6947;
2.582;1.0176;-0.0225;0.2067;-4.1298;1.0229;-0.8550;30.6947;
2.603;1.0190;-0.0200;0.2020;-4.1603;1.1145;-0.8931;30.7888;
2.624;1.0200;-0.0176;0.1995;-4.3282;1.2137;-0.9542;30.6947;
2.645;1.0178;-0.0173;0.2072;-4.1756;0.9618;-0.7405;30.6947;
2.666;1.0134;-0.0283;0.2072;-3.9313;1.1145;-0.8168;30.6947;
2.688;1.0171;-0.0208;0.1995;-4.1679;0.8855;-0.9771;30.6947;
2.708;1.0222;-0.0251;0.1884;-4.2672;0.9924;-0.8855;30.6947;
2.729;1.0159;-0.0256;0.2017;-4.1603;0.9313;-0.8244;30.6947;
2.750;1.0183;-0.0212;0.1948;-3.9618;0.9160;-0.8779;30.6006;
2.772;1.0085;-0.0122;0.2050;-4.2977;1.0763;-0.9542;30.7888;
2.793;1.0229;-0.0115;0.1973;-4.1374;0.9924;-0.9084;30.7888;
2.814;1.0156;-0.0205;0.2025;-4.2290;0.7023;-0.7252;30.6947;
2.835;1.0173;-0.0225;0.1981;-4.1298;0.9389;-0.8397;30.6947;
2.855;1.0195;-0.0205;0.1920;-4.2137;0.8168;-0.8397;30.7888;
2.877;1.0168;-0.0215;0.2020;-4.1221;1.0763;-0.5802;30.6947;
2.898;1.0154;-0.0220;0.2014;-4.3588;1.0763;-0.9695;30.6947;
2.919;1.0156;-0.0234;0.1984;-4.2366;1.0382;-0.9160;30.6947;
2.939;1.0244;-0.0227;0.2014;-4.0000;0.9542;-0.8779;30.7888;
2.960;1.0208;-0.0107;0.2000;-4.2519;0.8473;-0.7557;30.6947;
2.981;1.0134;-0.0215;0.1992;-4.1221;0.9389;-0.9313;30.6947;
3.002;1.0220;-0.0249;0.2084;-4.1374;0.8626;-0.8321;30.7888;
3.023;1.0186;-0.0232;0.1875;-3.9771;1.0076;-0.7252;30.7888;
3.044;1.0168;-0.0215;0.2031;-4.0534;0.9313;-0.8550;30.7888;
3.065;1.0149;-0.0215;0.1986;-4.2595;0.9008;-0.8779;30.7888;
3.087;1.0225;-0.0188;0.2047;-4.2977;1.0687;-0.8931;30.7888;
3.107;1.0173;-0.0225;0.2081;-4.3053;0.9313;-0.7405;30.6947;
3.128;1.0225;-0.0208;0.1914;-4.1450;1.0153;-0.7710;30.6947;
3.150;1.0161;-0.0222;0.1970;-4.0611;1.0229;-0.9160;30.6947;
3.171;1.0215;-0.0239;0.1967;-4.4046;0.8168;-0.8626;30.6947;
3.192;1.0247;-0.0266;0.2053;-4.1221;1.0153;-0.8855;30.6947;
3.213;1.0142;-0.0278;0.1981;-4.0229;1.0840;-0.9160;30.6947;
3.234;1.0190;-0.0232;0.1995;-4.0992;0.9389;-0.9084;30.6947;
3.254;1.0183;-0.0178;0.1898;-4.2366;0.9389;-0.7252;30.6947;
3.276;1.0166;-0.0225;0.2000;-4.2061;1.1069;-0.9847;30.7888;
3.297;1.0186;-0.0210;0.2017;-4.0153;1.1221;-0.6412;30.7888;
3.318;1.0188;-0.0225;0.1939;-4.0153;0.9771;-0.7939;30.7888;
3.338;1.0225;-0.0200;0.2003;-4.2672;0.9924;-0.9771;30.6947;
3.359;1.0195;-0.0244;0.2003;-4.0076;0.9389;-0.9847;30.6947;
3.381;1.0164;-0.0188;0.2034;-4.0916;0.7176;-0.9847;30.7888;
3.401;1.0149;-0.0215;0.2034;-3.9771;1.1221;-0.9313;30.6947;
3.422;1.0156;-0.0183;0.2100;-4.0916;1.0763;-0.8550;30.6006;
