Дата эксперимента: 31.10.2023 21:20:26
time;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Temperature
1.516;1.0176;-0.0024;0.2735;-4.2595;0.7634;-0.9313;30.0359;
1.537;1.0164;-0.0051;0.2874;-4.2214;0.9847;-0.9771;30.1300;
1.557;1.0115;-0.0039;0.2733;-4.0305;0.9771;-0.8550;30.0359;
1.579;1.0063;-0.0034;0.2752;-4.2748;0.9466;-0.7939;30.0359;
1.599;1.0168;-0.0020;0.2697;-4.0763;1.0382;-0.9771;30.0359;
1.621;1.0105;-0.0042;0.2769;-4.3740;1.0992;-0.7634;30.0359;
1.643;1.0076;-0.0024;0.2830;-4.0229;1.0611;-0.8473;29.8476;
1.664;1.0103;-0.0073;0.2810;-4.3206;1.0000;-0.9542;30.0359;
1.685;1.0125;-0.0071;0.2747;-3.9695;0.9389;-1.0763;30.0359;
1.706;1.0139;-0.0098;0.2713;-4.0229;1.1679;-0.8015;30.0359;
1.727;1.0122;-0.0029;0.2788;-4.0382;1.1527;-0.8855;29.9418;
1.748;1.0066;-0.0046;0.2844;-3.9618;1.1298;-0.9618;30.0359;
1.769;1.0115;-0.0005;0.2769;-4.2519;1.0611;-0.7634;30.0359;
1.790;1.0085;-0.0044;0.2808;-4.2748;0.8244;-0.7557;30.0359;
1.811;1.0107;-0.0059;0.2785;-4.2443;1.0458;-0.9771;30.0359;
1.832;1.0100;-0.0034;0.2702;-4.2672;1.1908;-0.9237;30.0359;
1.853;1.0088;-0.0107;0.2805;-4.2290;0.9160;-0.9618;29.9418;
1.874;1.0115;-0.0029;0.2827;-4.2443;1.0611;-0.7328;30.0359;
1.895;1.0122;-0.0117;0.2674;-4.1298;1.1069;-0.9237;29.9418;
1.916;1.0173;-0.0063;0.2666;-4.0763;1.0382;-0.8397;30.0359;
1.937;1.0125;-0.0002;0.2738;-4.0611;1.1069;-0.9466;29.9418;
1.958;1.0110;-0.0051;0.2783;-4.1069;1.0763;-1.1069;30.0359;
1.979;1.0093;-0.0049;0.2769;-4.1908;0.9771;-0.8779;29.9418;
1.999;1.0110;-0.0083;0.2747;-4.3206;1.2519;-0.7099;30.0359;
2.021;1.0081;-0.0017;0.2760;-4.1221;1.0916;-0.7710;30.0359;
2.042;1.0125;-0.0022;0.2708;-4.2519;0.9389;-0.9160;29.9418;
2.063;1.0215;-0.0032;0.2760;-4.2977;0.8779;-0.6718;30.0359;
2.084;1.0132;-0.0068;0.2866;-4.3053;1.0687;-0.9313;29.9418;
2.104;1.0110;-0.0024;0.2833;-4.1756;1.0382;-0.8626;30.0359;
2.125;1.0105;-0.0051;0.2774;-4.1450;1.0458;-0.9618;30.0359;
2.146;1.0066;-0.0049;0.2769;-4.3817;1.0763;-0.8626;30.0359;
2.167;1.0129;-0.0037;0.2713;-4.2748;1.0992;-0.8855;30.0359;
2.189;1.0066;-0.0046;0.2708;-3.9924;1.0992;-0.8397;29.9418;
2.210;1.0168;-0.0107;0.2774;-4.2290;1.0534;-0.9084;30.0359;
2.232;1.0132;-0.0042;0.2841;-4.2061;0.8779;-0.8397;29.9418;
2.252;1.0044;-0.0044;0.2719;-4.1756;1.0076;-0.8321;30.1300;
2.273;1.0098;-0.0056;0.2677;-4.0611;0.9313;-0.8015;30.0359;
2.294;1.0100;0.0002;0.2735;-4.1832;1.0763;-0.8321;30.0359;
2.315;1.0120;-0.0083;0.2669;-4.0382;0.9695;-0.8779;30.0359;
2.336;1.0081;-0.0034;0.2727;-4.1221;0.9618;-0.7863;30.1300;
2.357;1.0112;-0.0056;0.2841;-4.2061;1.0305;-1.0305;30.0359;
2.378;1.0120;-0.0007;0.2788;-4.2443;1.1756;-0.9084;29.9418;
2.399;1.0127;-0.0039;0.2724;-4.2061;0.9542;-0.8092;29.9418;
2.420;1.0098;-0.0076;0.2799;-4.2443;0.8626;-1.0153;30.0359;
2.441;1.0054;-0.0056;0.2735;-4.1527;0.9771;-1.0382;29.9418;
2.462;1.0137;-0.0037;0.2741;-4.1221;0.8321;-0.8244;29.9418;
2.483;1.0137;-0.0046;0.2760;-4.0229;1.0382;-0.7939;29.9418;
2.504;1.0100;-0.0066;0.2741;-3.8397;1.1298;-0.9389;30.0359;
2.525;1.0103;-0.0081;0.2783;-4.1985;1.1145;-0.8779;30.0359;
2.546;1.0117;-0.0039;0.2708;-4.1450;0.9542;-0.7863;30.0359;
2.567;1.0093;-0.0076;0.2686;-4.2901;0.9542;-1.0076;29.9418;
2.589;1.0120;0.0015;0.2794;-4.3206;1.0611;-1.0229;30.0359;
2.610;1.0107;-0.0034;0.2880;-4.1603;1.0763;-0.9695;29.9418;
2.631;1.0137;-0.0076;0.2722;-4.1145;1.0534;-0.9084;29.9418;
2.652;1.0090;-0.0073;0.2691;-4.0305;1.1374;-0.8473;30.0359;
